"寻路编号"	"寻路类型（1，与NPC聊天，2，打开自动战斗杀怪，3,静物交互,4，无操作,）"	"Npc的typeid"	"所在场景ID"	"坐标X"	"坐标Y"	"坐标Z"	"点名（索引点表CreatureSpawnConfig）"	"名称"	"是否为传送阵"	"Npc在地图上的图标"	"战力区域显示"	"是否显示列表中0不显示"	""	""	
"marklistID"	"findType"	"npcId"	"mapId"	"locationX"	"locationY"	"locationZ"	"pointName"	"markListName"	"isTeleporter"	"iconOnMap"	"fightingcapacity"	"isdisList"	""	""	
"int"	"int"	"int"	"int"	"float"	"float"	"float"	"string"	"string"	"int"	"string[]"	"string"	"int"	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cl"	"cl"	"c"	"cl"	"c"	""	""	
"591"	"1"	"10300"	"1005"	"58.647720"	"14.900000"	"38.637730"	""	"王族(Lv.30)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"592"	"1"	"10301"	"1005"	"62.171390"	"14.942380"	"40.146120"	""	"王沈(Lv.30)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"593"	"1"	"10303"	"1005"	"63.327190"	"15.382790"	"49.598480"	""	"北魏高手(Lv.3)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"594"	"3"	"10304"	"1005"	"70.560000"	"14.895000"	"54.900000"	""	"暗度陈仓"	""	""	""	""	""	""	
"595"	"1"	"10307"	"1005"	"76.923370"	"15.828530"	"58.555220"	""	"绝望的村民(Lv.30)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"596"	"1"	"10308"	"1005"	"89.285830"	"15.992540"	"47.555150"	""	"绝望的村妇(Lv.30)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"597"	"2"	"10309"	"1005"	"101.690000"	"15.450000"	"49.100000"	""	"北魏精兵(Lv.3)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"598"	"1"	"10310"	"1005"	"112.160400"	"15.411710"	"50.601930"	""	"北魏官员(Lv.30)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"599"	"2"	"10311"	"1005"	"115.100000"	"14.976860"	"38.390000"	""	"北魏精兵(Lv.4)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"600"	"1"	"10312"	"1005"	"113.550000"	"15.078000"	"29.220000"	""	"王嵩(Lv.30)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"601"	"3"	"10313"	"1005"	"117.984500"	"15.034300"	"26.311710"	""	"隐匿秘宝"	""	""	""	""	""	""	
"602"	"1"	"10314"	"1005"	"133.957600"	"14.904690"	"17.660880"	""	"王觅(Lv.30)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"603"	"1"	"10315"	"1005"	"143.207400"	"14.796220"	"22.912610"	""	"王何(Lv.30)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"604"	"3"	"10319"	"1005"	"142.963000"	"14.930000"	"34.625610"	""	"查探密道"	""	""	""	""	""	""	
"605"	"1"	"10320"	"1005"	"152.883800"	"14.996340"	"39.540150"	""	"王生(Lv.30)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"1"	"1"	"10001"	"1001"	"90.840000"	"51.600000"	"75.260000"	""	"刘楚玉(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"2"	"1"	"10002"	"1001"	"106.660000"	"51.600000"	"70.700000"	""	"欧阳羽(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"3"	"2"	"10003"	"1001"	"120.090000"	"51.490000"	"72.780000"	""	"帅哥(Lv.8)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"4"	"1"	"10004"	"1001"	"89.290000"	"51.600000"	"68.230000"	""	"沉香(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"5"	"2"	"10005"	"1001"	"75.140000"	"50.000000"	"70.670000"	""	"侍卫(Lv.9)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"6"	"1"	"10006"	"1001"	"74.400000"	"50.000000"	"60.200000"	""	"宗越(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"7"	"2"	"10007"	"1001"	"55.940000"	"50.000000"	"63.540000"	""	"何戟(Lv.11)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"8"	"1"	"10008"	"1001"	"48.500000"	"50.000000"	"97.700000"	""	"何戟(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"77"	"1"	"10077"	"1001"	"88.090000"	"49.360000"	"132.400000"	""	"欧阳羽(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"9"	"1"	"10009"	"1001"	"98.200000"	"49.860000"	"132.850000"	""	"刘楚玉(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"10"	"1"	"10010"	"1001"	"81.130000"	"49.590000"	"120.140000"	""	"何戟(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"11"	"1"	"10011"	"1001"	"76.530000"	"49.780000"	"142.190000"	""	"江淹(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"12"	"1"	"10012"	"1001"	"78.860000"	"49.940000"	"142.140000"	""	"王玄谟(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"13"	"2"	"10013"	"1001"	"118.900000"	"50.000000"	"140.540000"	""	"颜师伯(Lv.15)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"14"	"3"	"10014"	"1001"	"101.360000"	"50.000000"	"147.830000"	""	"查看资料"	""	""	""	""	""	""	
"15"	"3"	"10015"	"1001"	"124.400000"	"50.800000"	"195.000000"	""	"尚药司"	""	""	""	""	""	""	
"16"	"1"	"10016"	"1001"	"116.500000"	"50.800000"	"193.700000"	""	"人事司官员(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"17"	"3"	"10017"	"1001"	"126.600000"	"50.800000"	"185.900000"	""	"人事司"	""	""	""	""	""	""	
"18"	"1"	"10018"	"1001"	"121.900000"	"50.800000"	"191.900000"	""	"尚药司官员(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"19"	"1"	"10019"	"1001"	"86.600000"	"50.600000"	"175.600000"	""	"彩云(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"20"	"1"	"10020"	"1001"	"79.800000"	"50.800000"	"195.500000"	""	"受伤侍卫(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"21"	"2"	"10021"	"1001"	"50.490000"	"50.900000"	"196.520000"	""	"飞贼(Lv.19)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"22"	"3"	"10022"	"1001"	"81.700000"	"50.800000"	"195.600000"	""	"检查伤情"	""	""	""	""	""	""	
"23"	"1"	"10023"	"1001"	"104.100000"	"50.800000"	"180.200000"	""	"马厩官员(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"24"	"3"	"10024"	"1001"	"99.200000"	"50.800000"	"178.200000"	""	"选马"	""	""	""	""	""	""	
"25"	"2"	"10025"	"1001"	"64.500000"	"50.900000"	"265.300000"	""	"野猪(Lv.20)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"26"	"1"	"10026"	"1001"	"95.700000"	"50.800000"	"262.300000"	""	"猎户(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"27"	"2"	"10027"	"1001"	"85.400000"	"53.200000"	"294.400000"	""	"刺客(Lv.21)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"28"	"3"	"10028"	"1001"	"65.420000"	"57.840000"	"311.860000"	""	"刺客身份"	""	""	""	""	""	""	
"29"	"1"	"10029"	"1001"	"63.700000"	"68.700000"	"345.100000"	""	"刘楚玉(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"30"	"2"	"10030"	"1001"	"77.030000"	"55.900000"	"312.070000"	""	"神秘人(Lv.22)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"31"	"1"	"10031"	"1001"	"110.590000"	"73.610000"	"387.470000"	""	"欧阳羽(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"32"	"3"	"10032"	"1001"	"94.600000"	"66.600000"	"342.200000"	""	"整理粮食"	""	""	""	""	""	""	
"33"	"1"	"10033"	"1001"	"91.500000"	"66.900000"	"344.400000"	""	"王大爷(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"34"	"2"	"10034"	"1001"	"87.600000"	"73.600000"	"387.000000"	""	"恶僧(Lv.25)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"35"	"1"	"10035"	"1001"	"83.300000"	"75.280000"	"403.300000"	""	"僧人(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"36"	"2"	"10036"	"1001"	"119.300000"	"73.600000"	"403.800000"	""	"僧人(Lv.25)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"37"	"1"	"10037"	"1001"	"89.000000"	"75.280000"	"406.000000"	""	"僧人(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"38"	"2"	"10038"	"1001"	"213.500000"	"55.500000"	"354.200000"	""	"狼(Lv.23)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"39"	"2"	"10039"	"1001"	"254.000000"	"53.200000"	"380.900000"	""	"桓温旧部(Lv.24)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"40"	"1"	"10040"	"1001"	"297.800000"	"50.200000"	"369.300000"	""	"小李子(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"41"	"1"	"10041"	"1001"	"292.390000"	"50.400000"	"363.020000"	""	"欧阳羽(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"42"	"2"	"10042"	"1001"	"312.600000"	"50.800000"	"382.600000"	""	"桓温旧部(Lv.24)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"43"	"3"	"10043"	"1001"	"287.400000"	"50.200000"	"360.700000"	""	"化妆"	""	""	""	""	""	""	
"44"	"2"	"10044"	"1001"	"308.370000"	"50.100000"	"357.520000"	""	"旧部首领(Lv.25)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"45"	"1"	"10045"	"1001"	"307.300000"	"50.200000"	"347.600000"	""	"何湛(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"46"	"2"	"10046"	"1001"	"266.900000"	"50.200000"	"348.800000"	""	"桓温旧部(Lv.26)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"47"	"3"	"10047"	"1001"	"339.200000"	"56.100000"	"411.300000"	""	"村庄状况"	""	""	""	""	""	""	
"48"	"2"	"10048"	"1001"	"368.700000"	"56.100000"	"418.200000"	""	"野猪(Lv.27)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"49"	"1"	"10049"	"1001"	"353.500000"	"56.000000"	"390.100000"	""	"牛大婶(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"50"	"1"	"10050"	"1001"	"383.620000"	"56.100000"	"406.310000"	""	"村长(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"51"	"1"	"10051"	"1001"	"414.500000"	"51.700000"	"303.700000"	""	"云锦弟子(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"52"	"2"	"10052"	"1001"	"422.590000"	"50.600000"	"232.460000"	""	"天师道弟子(Lv.28)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"53"	"1"	"10053"	"1001"	"413.250000"	"51.000000"	"183.640000"	""	"商贩(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"54"	"1"	"10054"	"1001"	"382.550000"	"53.310000"	"138.450000"	""	"天师道道士(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"55"	"1"	"10055"	"1001"	"395.000000"	"50.000000"	"148.400000"	""	"狂热信徒(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"56"	"1"	"10056"	"1001"	"428.900000"	"52.510000"	"91.600000"	""	"云锦弟子(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"57"	"2"	"10057"	"1001"	"423.460000"	"52.240000"	"86.020000"	""	"邪道士(Lv.29)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"58"	"3"	"10058"	"1001"	"421.900000"	"50.300000"	"100.400000"	""	"解除法障"	""	""	""	""	""	""	
"59"	"1"	"10059"	"1001"	"424.700000"	"49.900000"	"99.300000"	""	"狂热信徒(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"60"	"3"	"10060"	"1001"	"413.900000"	"50.000000"	"94.500000"	""	"解除法障"	""	""	""	""	""	""	
"61"	"1"	"10061"	"1001"	"414.300000"	"50.000000"	"92.100000"	""	"狂热信徒(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"62"	"1"	"10062"	"1001"	"313.080000"	"50.700000"	"154.660000"	""	"邪道士(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"63"	"1"	"10063"	"1001"	"277.590000"	"68.780000"	"276.980000"	""	"欧阳羽(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"64"	"2"	"10064"	"1001"	"197.640000"	"46.820000"	"113.910000"	""	"受蛊男子(Lv.32)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"65"	"1"	"10065"	"1001"	"178.500000"	"79.560000"	"300.370000"	""	"小童(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"66"	"1"	"10066"	"1001"	"239.900000"	"44.600000"	"59.300000"	""	"王妈(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"67"	"1"	"10067"	"1001"	"221.570000"	"44.600000"	"66.550000"	""	"小童(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"68"	"1"	"10068"	"1001"	"190.900000"	"49.300000"	"142.900000"	""	"云锦弟子(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
