"索引"	"轮数"	"品级1：免费奖券抽2：金单抽3：金10抽"	"箱子物品1物品id物品积分物品位置物品限购"	"箱子物品2物品id物品积分物品位置物品限购"	"箱子物品3物品id物品积分物品位置物品限购"	"箱子物品4物品id物品积分物品位置物品限购"	"箱子物品5物品id物品积分物品位置物品限购"	"箱子物品6物品id物品积分物品位置物品限购"	"箱子物品7物品id物品积分物品位置物品限购"	"箱子物品8物品id物品积分物品位置物品限购"	"箱子物品9物品id物品积分物品位置物品限购"	"箱子物品10物品id物品积分物品位置物品限购"	"箱子物品11物品id物品积分物品位置物品限购"	"箱子物品12物品id物品积分物品位置物品限购"	
"index"	"round"	"rank"	"item_1"	"item_2"	"item_3"	"item_4"	"item_5"	"item_6"	"item_7"	"item_8"	"item_9"	"item_10"	"item_11"	"item_12"	
"int"	"int"	"int"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"0"	"1"	"561001,100,4,100"	"561002,100,5,100"	""	""	""	""	""	""	""	""	""	""	
"2"	"0"	"2"	""	""	"561003,100,6,100"	"561000,100,7,100"	"561003,100,8,100"	"561000,100,9,100"	""	""	""	""	""	""	
"3"	"0"	"3"	""	""	""	""	""	""	"561001,100,0,100"	"561002,100,1,100"	"561001,100,2,100"	"561002,100,3,100"	""	""	
"4"	"1"	"1"	"561001,100,0,100"	"561002,100,1,100"	""	""	""	""	""	""	""	""	""	""	
"5"	"1"	"2"	""	""	"561003,100,2,100"	"561000,100,3,100"	"561003,100,4,100"	"561000,100,5,100"	""	""	""	""	""	""	
"6"	"1"	"3"	""	""	""	""	""	""	"561001,100,6,100"	"561002,100,7,100"	"561001,100,8,100"	"561002,100,9,100"	""	""	
"7"	"2"	"1"	"561001,100,0,100"	"561002,100,1,100"	""	""	""	""	""	""	""	""	""	""	
"8"	"2"	"2"	""	""	"561003,100,2,100"	"561000,100,3,100"	"561003,100,4,100"	"561000,100,5,100"	""	""	""	""	""	""	
"9"	"2"	"3"	""	""	""	""	""	""	"561001,100,6,100"	"561002,100,7,100"	"561001,100,8,100"	"561002,100,9,100"	""	""	
"10"	"3"	"1"	"561001,100,0,100"	"561002,100,1,100"	""	""	""	""	""	""	""	""	""	""	
"11"	"3"	"2"	""	""	"561003,100,2,100"	"561000,100,3,100"	"561003,100,4,100"	"561000,100,5,100"	""	""	""	""	""	""	
"12"	"3"	"3"	""	""	""	""	""	""	"561001,100,6,100"	"561002,100,7,100"	"561001,100,8,100"	"561002,100,9,100"	""	""	
"13"	"4"	"1"	"561001,100,0,100"	"561002,100,1,100"	""	""	""	""	""	""	""	""	""	""	
"14"	"4"	"2"	""	""	"561003,100,2,100"	"561000,100,3,100"	"561003,100,4,100"	"561000,100,5,100"	""	""	""	""	""	""	
"15"	"4"	"3"	""	""	""	""	""	""	"561001,100,6,100"	"561002,100,7,100"	"561001,100,8,100"	"561002,100,9,100"	""	""	
"16"	"5"	"1"	"810113,30,4,1000"	"810114,300,9,1000"	""	""	""	""	""	""	""	""	""	""	
"17"	"5"	"2"	""	""	"530679,30,5,1000"	"530485,30,6,1000"	"530470,30,7,100"	"600001,30,8,1000"	""	""	""	""	""	""	
"18"	"5"	"3"	""	""	""	""	""	""	"400305,4000,0,1000"	"810115,1000,1,1000"	"521007,1000,2,1000"	"810115,1000,3,1000"	""	""	
