"表现组ID"	"轨迹ID"	"特效数组"	"停留时间"	"隐身"	"策划注释"	
"actiongroup_id"	"curve_id"	"effect_arr"	"pauseTime"	"bVisible"	""	
"int"	"int"	"string[]"	"int"	"bool"	""	
"cs"	"cs"	"c"	"cs"	"c"	""	
"1"	"1"	""	"5000"	"1"	"默认配置，勿动，一般不用"	
"100"	"-1"	"zhujue_zj_death.act.txt"	"4000"	"0"	"主角-转剑死亡"	
"110"	"-1"	"zhujue_tw_death.act.txt"	"4000"	"0"	"主角-天威死亡"	
"120"	"-1"	"zhujue_yj_death.act.txt"	"4000"	"0"	"主角-云锦死亡"	
"1000"	"-1"	"shicong_yuejiefei_death.act.txt"	"4000"	"0"	"越捷飞死亡"	
"1001"	"-1"	"shicong_yuejiefei_show.act.txt"	"4000"	"0"	"越捷飞抽卡侍从抽卡展示动作"	
"1002"	"-1"	"shicong_yuejiefei_appeared.act.txt"	"4000"	"0"	"越捷飞出场UI界面出场用"	
"1010"	"-1"	"shicong_liuse_death.act.txt"	"4000"	"0"	"柳色死亡"	
"1011"	"-1"	"shicong_liuse_show.act.txt"	"4000"	"0"	"柳色抽卡侍从抽卡展示动作"	
"1012"	"-1"	"shicong_liuse_appeared.act.txt"	"4000"	"0"	"柳色出场UI界面出场用"	
"1020"	"-1"	"shicong_huacuo_death.act.txt"	"4000"	"0"	"花错死亡"	
"1021"	"-1"	"shicong_huacuo_show.act.txt"	"4000"	"0"	"花错抽卡侍从抽卡展示动作"	
"1022"	"-1"	"shicong_huacuo_appeared.act.txt"	"4000"	"0"	"花错出场UI界面出场用"	
"1030"	"-1"	"shicong_tianrujing_death.act.txt"	"4000"	"0"	"天如镜死亡"	
"1031"	"-1"	"shicong_tianrujing_show.act.txt"	"4000"	"0"	"天如镜抽卡侍从抽卡展示动作"	
"1032"	"-1"	"shicong_tianrujing_appeared.act.txt"	"4000"	"0"	"天如镜出场UI界面出场用"	
"1040"	"-1"	"shicong_zhongniannian_death.act.txt"	"4000"	"0"	"钟年年死亡"	
"1041"	"-1"	"shicong_zhongniannian_show.act.txt"	"4000"	"0"	"钟年年抽卡侍从抽卡展示动作"	
"1042"	"-1"	"shicong_zhongniannian_appeared.act.txt"	"4000"	"0"	"钟年年出场UI界面出场用"	
"1050"	"-1"	"shicong_hengyuan_death.act.txt"	"4000"	"0"	"恒远死亡"	
"1051"	"-1"	"shicong_hengyuan_show.act.txt"	"4000"	"0"	"恒远抽卡侍从抽卡展示动作"	
"1052"	"-1"	"shicong_hengyuan_appeared.act.txt"	"4000"	"0"	"恒远出场UI界面出场用"	
"1060"	"-1"	"shicong_rongzhi_death.act.txt"	"4000"	"0"	"容止死亡"	
"1061"	"-1"	"shicong_rongzhi_show.act.txt"	"4000"	"0"	"容止抽卡侍从抽卡展示动作"	
"1062"	"-1"	"shicong_rongzhi_appeared.act.txt"	"4000"	"0"	"容止出场UI界面出场用"	
"1070"	"-1"	"shicong_chuyu_death.act.txt"	"4000"	"0"	"楚玉死亡"	
"1071"	"-1"	"shicong_chuyu_show.act.txt"	"4000"	"0"	"楚玉抽卡侍从抽卡展示动作"	
"1072"	"-1"	"shicong_chuyu_appeared.act.txt"	"4000"	"0"	"楚玉出场UI界面出场用"	
"1080"	"-1"	"shicong_baililiusang_death.act.txt"	"4000"	"0"	"百里流桑死亡"	
"1081"	"-1"	"shicong_baililiusang_show.act.txt"	"4000"	"0"	"百里流桑抽卡侍从抽卡展示动作"	
"1082"	"-1"	"shicong_baililiusang_appeared.act.txt"	"4000"	"0"	"百里流桑出场UI界面出场用"	
"1090"	"-1"	"shicong_fendai_death.act.txt"	"4000"	"0"	"粉黛死亡"	
"1091"	"-1"	"shicong_fendai_show.act.txt"	"4000"	"0"	"粉黛抽卡侍从抽卡展示动作"	
"1092"	"-1"	"shicong_fendai_appeared.act.txt"	"4000"	"0"	"粉黛出场UI界面出场用"	
"1100"	"-1"	"shicong_huamulan_death.act.txt"	"4000"	"0"	"花木兰死亡"	
"1101"	"-1"	"shicong_huamulan_show.act.txt"	"4000"	"0"	"花木兰抽卡侍从抽卡展示动作"	
"1102"	"-1"	"shicong_huamulan_appeared.act.txt"	"4000"	"0"	"花木兰出场UI界面出场用"	
"1110"	"-1"	"shicong_fengting_death.act.txt"	"4000"	"0"	"冯婷死亡"	
"1111"	"-1"	"shicong_fengting_show.act.txt"	"4000"	"0"	"冯婷抽卡侍从抽卡展示动作"	
"1112"	"-1"	"shicong_fengting_appeared.act.txt"	"4000"	"0"	"冯婷出场UI界面出场用"	
"1120"	"-1"	"shicong_aman_death.act.txt"	"4000"	"0"	"阿蛮死亡"	
"1121"	"-1"	"shicong_aman_show.act.txt"	"4000"	"0"	"阿蛮抽卡侍从抽卡展示动作"	
"1122"	"-1"	"shicong_aman_appeared.act.txt"	"4000"	"0"	"阿蛮出场UI界面出场用"	
"1130"	"-1"	"shicong_youlan_death.act.txt"	"4000"	"0"	"幼蓝死亡"	
"1131"	"-1"	"shicong_youlan_show.act.txt"	"4000"	"0"	"幼蓝抽卡侍从抽卡展示动作"	
"1132"	"-1"	"shicong_youlan_appeared.act.txt"	"4000"	"0"	"幼蓝出场UI界面出场用"	
"1140"	"-1"	"shicong_zhuyingtai_death.act.txt"	"4000"	"0"	"祝英台死亡"	
"1141"	"-1"	"shicong_zhuyingtai_show.act.txt"	"4000"	"0"	"祝英台抽卡侍从抽卡展示动作"	
"1142"	"-1"	"shicong_zhuyingtai_appeared.act.txt"	"4000"	"0"	"祝英台出场UI界面出场用"	
"1150"	"-1"	"shicong_jiananfeng_death.act.txt"	"4000"	"0"	"贾南风死亡"	
"1151"	"-1"	"shicong_jiananfeng_show.act.txt"	"4000"	"0"	"贾南风抽卡侍从抽卡展示动作"	
"1152"	"-1"	"shicong_jiananfeng_appeared.act.txt"	"4000"	"0"	"贾南风出场UI界面出场用"	
"1160"	"-1"	"shicong_heji_death.act.txt"	"4000"	"0"	"何戢死亡"	
"1161"	"-1"	"shicong_heji_show.act.txt"	"4000"	"0"	"何戢抽卡侍从抽卡展示动作"	
"1162"	"-1"	"shicong_heji_appeared.act.txt"	"4000"	"0"	"何戢出场UI界面出场用"	
"1170"	"-1"	"shicong_lianglvzhu_death.act.txt"	"4000"	"0"	"梁绿珠死亡"	
"1171"	"-1"	"shicong_lianglvzhu_show.act.txt"	"4000"	"0"	"梁绿珠抽卡侍从抽卡展示动作"	
"1172"	"-1"	"shicong_lianglvzhu_appeared.act.txt"	"4000"	"0"	"梁绿珠出场UI界面出场用"	
"1180"	"-1"	"shicong_shenqingzhi_death.act.txt"	"4000"	"0"	"沈庆之死亡"	
"1181"	"-1"	"shicong_shenqingzhi_show.act.txt"	"4000"	"0"	"沈庆之抽卡侍从抽卡展示动作"	
"1182"	"-1"	"shicong_shenqingzhi_appeared.act.txt"	"4000"	"0"	"沈庆之出场UI界面出场用"	
"1190"	"-1"	"shicong_wangxianyuan_death.act.txt"	"4000"	"0"	"王宪媛死亡"	
"1191"	"-1"	"shicong_wangxianyuan_show.act.txt"	"4000"	"0"	"王宪媛抽卡侍从抽卡展示动作"	
"1192"	"-1"	"shicong_wangxianyuan_appeared.act.txt"	"4000"	"0"	"王宪媛出场UI界面出场用"	
"1200"	"-1"	"shicong_moxiang_death.act.txt"	"4000"	"0"	"墨香死亡"	
"1201"	"-1"	"shicong_moxiang_show.act.txt"	"4000"	"0"	"墨香抽卡侍从抽卡展示动作"	
"1202"	"-1"	"shicong_moxiang_appeared.act.txt"	"4000"	"0"	"墨香出场UI界面出场用"	
"1210"	"-1"	"shicong_jiangyan_death.act.txt"	"4000"	"0"	"江淹死亡"	
"1211"	"-1"	"shicong_jiangyan_show.act.txt"	"4000"	"0"	"江淹抽卡侍从抽卡展示动作"	
"1212"	"-1"	"shicong_jiangyan_appeared.act.txt"	"4000"	"0"	"江淹出场UI界面出场用"	
"1220"	"-1"	"shicong_liuziye_death.act.txt"	"4000"	"0"	"刘子业死亡"	
"1221"	"-1"	"shicong_liuziye_show.act.txt"	"4000"	"0"	"刘子业抽卡侍从抽卡展示动作"	
