"id"	"坐骑ID"	""	""	""	
"id"	"rideID"	""	""	""	
"int"	"int"	""	""	""	
"cs"	"cs"	""	""	""	
"520001"	"10001"	""	""	""	
"521021"	"20001"	""	""	""	
"521022"	"20002"	""	""	""	
"521023"	"20003"	""	""	""	
"521024"	"20004"	""	""	""	
"521025"	"20009"	""	""	""	
"521026"	"20011"	""	""	""	
"521027"	"20013"	""	""	""	
"521028"	"20015"	""	""	""	
"521029"	"20017"	""	""	""	
"522021"	"20005"	""	""	""	
"522022"	"20006"	""	""	""	
"522023"	"20007"	""	""	""	
"522024"	"20008"	""	""	""	
"522025"	"20010"	""	""	""	
"522026"	"20012"	""	""	""	
"522027"	"20014"	""	""	""	
"522028"	"20016"	""	""	""	
"522029"	"20018"	""	""	""	
"523001"	"30001"	""	""	""	
