"坐骑阶数"	"类别（1=坐骑）"	"升到下一阶后的坐骑ID"	"坐骑突破所需材料ID"	"当前阶段坐骑突破单次所需材料数量"	"突破单次获得能量"	"暴击率，暴击倍数"	"当前阶段坐骑突破所需总能量数量"	"当前阶附加总属性（填总属性值，而非差值）（属性ID，属性值）"	"当前阶当前阶段属性占比（每次升阶段占总属性的百分之多少，填累加值，结果向下取整）（第1个数据是0星属性）"	"是否可喂养"	"是否有技能"	"当前阶闪避技能(索引到MygicType表)"	"开启等级"	"喂养丹ID"	"喂养丹上限"	"单个喂养丹增加属性（一定要每一行都填一样的数据）"	
"id"	"kind"	"nextRankId"	"item_id"	"item_num"	"power_single"	"power_strike"	"power_total"	"attr"	"level_percent"	"isfeed"	"iskill"	"ridebuff"	"openlevel"	"feedid"	"feedmaxnum"	"feed_attr"	
"int"	"int"	"int"	"int"	"int"	"int"	"float[2]"	"int"	"int[]"	"float[]"	"bool"	"bool"	"int"	"int"	"int"	"int"	"int[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"10002"	"110102"	"1"	"100"	"0,2"	"100"	"0,1000,1,100,2,10,12,0,14,0,16,0,18,0"	"0.05,0.14,0.28,0.42,0.56,0.7,0.84"	"0"	"0"	"50001001"	"1"	"110103"	"0"	"0,20,1,2"	
"2"	"1"	"10003"	"110102"	"2"	"100"	"0.5,2"	"200"	"0,10000,1,1000,2,10,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"0"	"50001002"	"1"	"110103"	"10"	"0,20,1,2"	
"3"	"1"	"10004"	"110102"	"4"	"100"	"0.45,2"	"300"	"0,100000,1,10000,2,10,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"0"	"50001003"	"5"	"110103"	"100"	"0,20,1,2"	
"4"	"1"	"10005"	"110102"	"7"	"100"	"0.4,2"	"500"	"0,1000000,1,100000,2,10,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001004"	"10"	"110103"	"500"	"0,20,1,2"	
"5"	"1"	"10006"	"110102"	"12"	"100"	"0.35,2"	"800"	"0,10000000,1,1000000,2,10,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001005"	"20"	"110103"	"2000"	"0,20,1,2"	
"6"	"1"	"10007"	"110102"	"15"	"100"	"0.35,2"	"1300"	"0,10000000,1,1000000,2,10,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001006"	"30"	"110103"	"4000"	"0,20,1,2"	
"7"	"1"	"10008"	"110102"	"20"	"100"	"0.3,2"	"2000"	"0,10000000,1,1000000,2,10,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001007"	"40"	"110103"	"8000"	"0,20,1,2"	
"8"	"1"	"10009"	"110102"	"25"	"100"	"0.3,2"	"3000"	"0,10000000,1,1000000,2,10,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001008"	"50"	"110103"	"15000"	"0,20,1,2"	
"9"	"1"	"10010"	"110102"	"30"	"100"	"0.3,2"	"3500"	"0,10000000,1,1000000,2,10,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001009"	"65"	"110103"	"30000"	"0,20,1,2"	
"10"	"1"	"-1"	"110102"	"30"	"100"	"0.3,2"	"4000"	"0,10000000,1,1000000,2,10,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001010"	"80"	"110103"	"50000"	"0,20,1,2"	
