"波数"	"奖励物品"	"奖励数量"	
"id"	"item_tid"	"item_cnt"	
"int"	"int"	"int"	
"cs"	"cs"	"cs"	
"1"	"400223"	"1"	
"2"	"400223"	"4"	
"3"	"400223"	"6"	
"4"	"400223"	"8"	
"5"	"400223"	"10"	
"6"	"400223"	"12"	
"7"	"400223"	"14"	
"8"	"400223"	"16"	
"9"	"400223"	"18"	
"10"	"400223"	"20"	
"11"	"400223"	"24"	
"12"	"400223"	"28"	
"13"	"400223"	"32"	
"14"	"400223"	"36"	
"15"	"400223"	"40"	
"16"	"400223"	"44"	
"17"	"400223"	"48"	
"18"	"400223"	"52"	
"19"	"400223"	"56"	
"20"	"400223"	"60"	
"21"	"400223"	"65"	
"22"	"400223"	"70"	
"23"	"400223"	"75"	
"24"	"400223"	"80"	
"25"	"400223"	"85"	
"26"	"400223"	"90"	
"27"	"400223"	"95"	
"28"	"400223"	"100"	
"29"	"400223"	"105"	
"30"	"400223"	"110"	
"31"	"400223"	"120"	
"32"	"400223"	"130"	
"33"	"400223"	"140"	
"34"	"400223"	"150"	
"35"	"400223"	"160"	
"36"	"400223"	"170"	
"37"	"400223"	"180"	
"38"	"400223"	"190"	
"39"	"400223"	"200"	
"40"	"400223"	"210"	
"41"	"400223"	"215"	
"42"	"400223"	"220"	
"43"	"400223"	"225"	
"44"	"400223"	"230"	
"45"	"400223"	"235"	
"46"	"400223"	"240"	
"47"	"400223"	"245"	
"48"	"400223"	"250"	
"49"	"400223"	"255"	
"50"	"400223"	"260"	
"51"	"400223"	"265"	
