"宠物类别（首位，1为普通宠物，2为幻形宠物）"	"起始星ID（不需要读填-1）"	"宠物名字"	"宠物级别1=初级宠物；2=中级宠物；3=高级宠物；4=龙宠物；5=限时宠物"	"宠物类别（首位，1为普通宠物，2为幻形宠物，3为多人宠物）"	"有效期（天数永久填-1）"	"每个宠物装备槽最大等级（不判断填-1）"	"宠物最大阶（不判断填-1）"	"宠物最大级（不判断填-1）"	"等阶"	"宠物属性（针对幻形，其他宠物不读取填-1）（属性ID，属性值）"	"宠物初始星级(需特别注意，幻形没有填-1)"	"宠物最大星级(需特别注意，幻形没有填-1)"	"宠物头像图标"	"模型ID"	"宠物界面坐标"	"宠物界面角度"	"宠物模型缩放"	"宠物展示动作id(ActionGroupConfig表)"	"宠物展示动作(ActionGroupConfig表)"	"宠物获得途径"	"宠物头像（未使用）"	"新获取界面美术字"	"商城中尺寸"	"商城中位置"	"商城中角度"	"列表名称美术字"	"获取途径美术字"	"是否商城购买"	"跳转界面-1:不跳转数字：Gui表中的ID"	"标签页id-1:无数字：Gui表中的ID"	"新获得时位置"	"新获得时角度"	"新获得时尺寸"	"宠物休闲动作1standby1"	"宠物休闲动作2standby2"	"排行榜中尺寸"	"排行榜中位置"	"排行榜中角度"	"宠物升级类型（对应PetLevelupConfig表中的类型，同类型可进行升级，0=未不可升级）"	"宠物突破类型（对应PetBreakupConfig表中的类型，同类型可进行升级，0=未不可升级）"	
"id"	"star_id"	"pet_name"	"grade"	"sort"	"validity"	"itemhole_max"	"class_max"	"level_max"	"rank"	"attr"	"star_default"	"star_max"	"pet_icon"	"avatar_id"	"ui_position"	"ui_rotation"	"model_scale"	"pet_act_id"	"pet_act"	"pet_get"	"portrait"	"name_icon"	"mail_size"	"mail_position"	"mail_rotation"	"list_icon"	"achieve_icon"	"mall_buy"	"ui_id"	"ui_tab_id"	"get_position"	"get_rotation"	"get_size"	"pet_standby1_act"	"pet_standby2_act"	"rank_size"	"rank_position"	"rank_rotation"	"levelsort"	"stagesort"	
"int"	"int"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int[]"	"int"	"int"	"string[2]"	"int"	"float[2]"	"float[3]"	"float"	"int"	"string"	"string"	"string[2]"	"string[2]"	"float"	"float[2]"	"float[3]"	"string[2]"	"string[2]"	"int"	"int"	"int"	"float[2]"	"float[3]"	"float"	"string"	"string"	"float"	"float[2]"	"float[3]"	"int"	"int"	
"cs"	"cs"	"cl"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"c"	"c"	"cs"	"c"	"cl"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"cs"	"cs"	
"1001"	"10000"	"金武"	"1"	"1001"	"-1"	"50"	"10"	"100"	"1"	"-1"	"1"	"5"	"icon_pet_png,pet_songshu"	"30017"	"0,-0.55"	""	"0.600000"	"20001"	"pet_songshu_standby1.act.txt"	"获得途径:商城&活动"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname01"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname01"	""	"0"	""	""	"0,-0.6"	""	"0.600000"	"pet_songshu_standby1.act.txt"	"pet_songshu_standby2.act.txt"	"0.500000"	""	""	"1"	"1"	
"1002"	"20000"	"皮皮"	"1"	"1002"	"-1"	"50"	"10"	"100"	"2"	"-1"	"1"	"5"	"icon_pet_png,pet_huanxiong"	"30003"	"0,-0.8"	""	"0.900000"	"20000"	"pet_xiaohuanxiong_standby1.act.txt"	"获得途径:跨服战场"	"icon_pet_png,icon_pet_xiaohuanxiong"	"shenqiname1,petname02"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname02"	""	""	""	""	"0,-0.9"	""	"0.900000"	"pet_xiaohuanxiong_standby1.act.txt"	"pet_xiaohuanxiong_standby2.act.txt"	"0.800000"	"0,-0.55"	""	"0"	"0"	
"1003"	"30000"	"利克"	"1"	"1003"	"-1"	"50"	"10"	"100"	"3"	"-1"	"1"	"5"	"icon_pet_png,pet_qie"	"30025"	"0,-0.7"	""	"0.800000"	"20001"	"pet_qie_standby1.act.txt"	"获得途径:挑战副本"	"icon_pet_png,icon_pet_diao"	"shenqiname1,petname03"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname03"	""	""	""	""	"0,-0.8"	""	"0.800000"	"pet_qie_standby1.act.txt"	"pet_qie_standby2.act.txt"	"0.600000"	""	""	"0"	"0"	
"1004"	"40000"	"罗杰"	"1"	"1004"	"-1"	"50"	"10"	"100"	"4"	"-1"	"1"	"5"	"icon_pet_png,pet_tuzi"	"30019"	"0,-0.9"	""	"1.000000"	"20000"	"pet_tuzi_standby1.act.txt"	"获得途径:竞技场"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname04"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname04"	""	""	""	""	"0,-1"	""	"1.000000"	"pet_tuzi_standby1.act.txt"	"pet_tuzi_standby2.act.txt"	"0.800000"	""	""	"0"	"0"	
"1005"	"50000"	"霹雳"	"2"	"1005"	"-1"	"50"	"10"	"100"	"5"	"-1"	"1"	"5"	"icon_pet_png,pet_zhu"	"30027"	"0,-0.8"	""	"0.900000"	"20001"	"pet_yezhu_standby1.act.txt"	"获得途径:商城&豪侠"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname05"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname05"	""	""	""	""	"0,-0.9"	""	"0.900000"	"pet_yezhu_standby1.act.txt"	"pet_yezhu_standby2.act.txt"	"0.700000"	""	""	"0"	"0"	
"1006"	"60000"	"大宝"	"2"	"1006"	"-1"	"50"	"10"	"100"	"6"	"-1"	"1"	"5"	"icon_pet_png,icon_pet_xiongmao"	"30004"	"0,-0.8"	""	"0.900000"	"20000"	"pet_xiongmao_standby1.act.txt"	"获得途径:华山论剑"	"icon_pet_png,icon_pet_xiongmao"	"shenqiname1,petname06"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname06"	""	""	""	""	"0,-0.9"	""	"0.900000"	"pet_xiongmao_standby1.act.txt"	"pet_xiongmao_standby2.act.txt"	"0.800000"	"0,-0.55"	""	"0"	"0"	
"1007"	"70000"	"希米"	"2"	"1007"	"-1"	"50"	"10"	"100"	"7"	"-1"	"1"	"5"	"icon_pet_png,pet_lu"	"30028"	"0,-0.8"	""	"0.900000"	"20001"	"pet_meihualu_standby1.act.txt"	"获得途径:挑战副本"	"icon_pet_png,icon_pet_xiongmao"	"shenqiname1,petname07"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname07"	""	""	""	""	"0,-0.9"	""	"0.900000"	"pet_meihualu_standby1.act.txt"	"pet_meihualu_standby2.act.txt"	"0.800000"	"0,-0.55"	""	"0"	"0"	
