"ID(索引，策划填)第二位第三位套装ID第四位0战士1弓手2法师"	"时装模板ID"	"强化等级(0-15)"	"消耗时装碎片ID和数量"	"消耗银币（不消耗）"	"强化属性1属性ID,修改方式,属性值"	"强化属性2属性ID,修改方式,属性值"	"强化属性3属性ID,修改方式,属性值"	"强化属性4属性ID,修改方式,属性值"	"强化属性5属性ID,修改方式,属性值"	"扩展属性1属性ID,修改方式,属性值"	"扩展属性2属性ID,修改方式,属性值"	"扩展属性3属性ID,修改方式,属性值"	"扩展属性4属性ID,修改方式,属性值"	"扩展属性5属性ID,修改方式,属性值"	"触发效果ID（不累计，索引到CombatTriggerConfig.xls）"	"职业（射雕不区分职业只区分性别）"	"性别（0=男1=女）"	"时装图集"	"时装图集"	"时装名字（策划显示用）"	"显示位置"	"效果1"	"效果2"	"时装BUFF"	"预览和强化外显变化后的模型"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"tid"	"enhance_level"	"spend_item_num"	"spend_silver"	"enhance_attr1"	"enhance_attr2"	"enhance_attr3"	"enhance_attr4"	"enhance_attr5"	"extend_attr1"	"extend_attr2"	"extend_attr3"	"extend_attr4"	"extend_attr5"	"trigger_id"	"pro"	"sex"	"checkedImage"	"uncheckedImage"	"name"	"showpos"	"effect1"	"effect2"	"arua_id"	"modelID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"int"	"int"	"int[2]"	"int"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"int"	"int"	"int"	"string[2]"	"string[2]"	"string"	"int"	"string[2]"	"string[2]"	"int"	"int[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"cl"	"c"	"c"	"c"	"cs"	"c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100100"	"600010"	"0"	"620010,50"	""	"0,0,0"	"1,0,0"	"2,0,0"	""	""	""	""	""	""	""	""	"0"	""	""	""	"喜结连理-预览"	""	""	""	""	"2001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100101"	"600010"	"1"	"620010,0"	""	"0,0,20000"	"1,0,2000"	"2,0,1000"	""	""	""	""	""	""	""	""	"0"	""	""	""	"喜结连理"	""	""	""	""	"2001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100200"	"600020"	"0"	"620020,50"	""	"0,0,0"	"8,0,0"	"10,0,0"	"12,0,0"	"18,0,0"	""	""	""	""	""	""	"0"	""	""	""	"百年好合-预览"	""	""	""	""	"2002"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100201"	"600020"	"1"	"620020,0"	""	"0,0,100000"	"8,0,3000"	"10,0,3000"	"12,0,3000"	"18,0,3000"	""	""	""	""	""	""	"0"	""	""	""	"百年好合"	""	""	""	""	"2002"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100300"	"600030"	"0"	"620030,50"	""	"0,0,0"	"1,0,0"	"2,0,0"	"8,0,0"	"10,0,0"	""	""	""	""	""	""	"0"	""	""	""	"醉红尘-预览"	""	""	""	""	"2003"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100301"	"600030"	"1"	"620030,0"	""	"0,0,40000"	"1,0,2000"	"2,0,1000"	"8,0,1000"	"10,0,1000"	""	""	""	""	""	""	"0"	""	""	""	"醉红尘"	""	""	""	""	"2003"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100400"	"600040"	"0"	"620040,50"	""	"0,0,0"	"1,0,0"	"2,0,0"	"12,0,0"	"14,0,0"	""	""	""	""	""	""	"0"	""	""	""	"龙战八方-预览"	""	""	""	""	"2004"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100401"	"600040"	"1"	"620040,0"	""	"0,0,50000"	"1,0,2000"	"2,0,1000"	"12,0,1000"	"14,0,1000"	""	""	""	""	""	""	"0"	""	""	""	"龙战八方"	""	""	""	""	"2004"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100500"	"600050"	"0"	"620050,50"	""	"0,0,0"	"1,0,0"	"2,0,0"	"16,0,0"	"18,0,0"	""	""	""	""	""	""	"0"	""	""	""	"惊寒九天-预览"	""	""	""	""	"2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100501"	"600050"	"1"	"620050,0"	""	"0,0,40000"	"1,0,2000"	"2,0,1000"	"16,0,1000"	"18,0,1000"	""	""	""	""	""	""	"0"	""	""	""	"惊寒九天"	""	""	""	""	"2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100600"	"600060"	"0"	"620060,50"	""	"0,0,0"	"1,0,0"	"2,0,0"	"14,0,0"	"16,0,0"	""	""	""	""	""	""	"0"	""	""	""	"新年时装-预览"	""	""	""	""	"2006"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100601"	"600060"	"1"	"620060,0"	""	"0,0,50000"	"1,0,3000"	"2,0,1500"	"14,0,1000"	"16,0,1000"	""	""	""	""	""	""	"0"	""	""	""	"新年时装"	""	""	""	""	"2006"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100700"	"600070"	"0"	"620070,50"	""	"0,0,0"	"1,0,0"	"2,0,0"	"8,0,0"	"10,0,0"	""	""	""	""	""	""	"0"	""	""	""	"紫逸霜融-预览"	""	""	""	""	"2007"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100701"	"600070"	"1"	"620070,0"	""	"0,0,100000"	"1,0,5000"	"2,0,2500"	"8,0,1000"	"10,0,1000"	""	""	""	""	""	""	"0"	""	""	""	"紫逸霜融"	""	""	""	""	"2007"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100800"	"600080"	"0"	"620080,50"	""	"0,0,0"	"1,0,0"	"2,0,0"	"12,0,0"	"14,0,0"	""	""	""	""	""	""	"0"	""	""	""	"异域风情-预览"	""	""	""	""	"2008"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
