"id"	"描述"	"效果类型"	"效果索引(程序用,不填)"	"延时"	"目标类型1.选中目标点（选点技能）2.选中目标方向固定距离的点（选点技能）距离3.选中原点处圆形范围内随机一个点（选点技能）范围半径4.选中目标点处圆形范围内随机一个点（选点技能）范围半径5.选择目标方向带方向偏移（子弹类技能）偏移角度6.选择目标方向随机方向偏移（子弹类技能）范围参数1（向左偏移角度一般为正数）范围参数2（向右偏移角度一般为负数）7.选中目标方向固定距离点带方向偏移（选点技能）距离偏移角度8.选中目标方向固定距离点随机方向偏移（选点技能）距离范围参数1范围参数2"	"目标参数1"	"目标参数2"	"目标参数3"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数1"	"效果参数2"	"效果参数3"	"nn效果参数1"	"nn效果参数2"	"nn效果参数3"	"ff效果参数1"	"ff效果参数2"	"ff效果参数3"	"符咒类型id对应creatureType表格"	"表现"	""	""	
"id"	"des"	"type"	"index"	"delay"	"objType"	"objParam1"	"objParam2"	"objParam3"	"nparam1"	"nparam2"	"nparam3"	"fparam1"	"fparam2"	"fparam3"	"nnparam1"	"nnparam2"	"nnparam3"	"ffparam1"	"ffparam2"	"ffparam3"	"charm_type"	"performance"	""	""	
"int"	"string"	"string"	"int"	"int"	"int"	"float"	"float"	"float"	"int"	"int"	"int"	"float"	"float"	"float"	"int"	"int"	"int"	"float"	"float"	"float"	"int"	"string[]"	""	""	
"cs"	""	"cs"	"cs"	"s"	"s"	"s"	"s"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	""	""	
"101"	""	"Gather"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"102"	"战场获取buff技能"	"TriggerStaticObject"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	""	""	
"1020"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"1040"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1040"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"1080"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1080"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"1090"	"吸血"	"Trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"109000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"1100"	""	"RecoverWhenKillThisMagic"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1"	"0"	"0"	"0.150000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"1110"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1110"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"1120"	""	"ReduceTargetThisMagic"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"2"	"0"	"10"	"0.500000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"1130"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1130"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
