"索引ID"	"职业区分（1丐帮，2少林，3全真）"	"索引MeridianNameConfig"	"经脉ID（命名规则为ID最后两位代表经脉所属页数，前面的ID代表该页数所属经脉,例如101代表，第一个经脉第一页）"	"本页经脉点1(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点2(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点3(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点4(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点5(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点6(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点7(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点8(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点9(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点10(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"prof"	"meridian_name_id"	"meridian_id"	"meridian1_point"	"meridian2_point"	"meridian3_point"	"meridian4_point"	"meridian5_point"	"meridian6_point"	"meridian7_point"	"meridian8_point"	"meridian9_point"	"meridian10_point"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"int"	"int"	"int"	"float[7]"	"float[7]"	"float[7]"	"float[7]"	"float[7]"	"float[7]"	"float[7]"	"float[7]"	"float[7]"	"float[7]"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"3"	"1"	"101"	"1,100,1,0,1,50,50"	"1,100,1,0,0,1508,1508"	"1,100,1,0,2,76,76"	"2,200,1,0,1,50,50"	"2,200,1,0,8,76,76"	"3,300,1,0,0,1518,1518"	"4,300,1,0,1,51,51"	"4,400,1,0,10,76,76"	"5,400,1,0,12,76,76"	"6,500,1,0,1,51,51"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"3"	"1"	"102"	"6,600,1,0,0,1531,1531"	"7,600,1,0,14,77,77"	"7,700,1,0,1,51,51"	"8,700,1,0,2,77,77"	"9,800,1,0,18,77,77"	"9,800,1,0,0,1543,1543"	"10,900,1,0,1,52,52"	"10,1000,1,0,16,77,77"	"11,1000,1,0,1,52,52"	"12,1100,1,0,0,1553,1553"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"3"	"1"	"103"	"12,1100,1,0,1,52,52"	"13,1200,1,0,2,78,78"	"13,1300,1,0,0,1561,1561"	"14,1300,1,0,1,52,52"	"15,1400,1,0,8,78,78"	"15,1400,1,0,1,52,52"	"16,1500,1,0,0,1571,1571"	"17,1600,1,0,10,79,79"	"17,1600,1,0,2,79,79"	"18,1700,1,0,1,53,53"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"3"	"1"	"104"	"18,1700,1,0,12,79,79"	"19,1800,1,0,0,1583,1583"	"20,1900,1,0,1,53,53"	"20,1900,1,0,14,79,79"	"21,2000,1,0,18,80,80"	"22,2100,1,0,1,53,53"	"22,2100,1,0,0,1596,1596"	"23,2200,1,0,16,80,80"	"24,2300,1,0,1,53,53"	"24,2300,1,0,2,80,80"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"3"	"1"	"105"	"25,2400,1,0,0,1606,1606"	"25,2400,1,0,1,54,54"	"26,2500,1,0,1,54,54"	"27,2600,1,0,0,1613,1613"	"27,2600,1,0,2,81,81"	"28,2700,1,0,1,54,54"	"29,2800,1,0,8,81,81"	"29,2800,1,0,0,1623,1623"	"30,2900,1,0,1,54,54"	"31,3000,1,0,10,81,81"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"3"	"1"	"106"	"31,3000,1,0,12,82,82"	"32,3100,1,0,1,54,54"	"33,3200,1,0,0,1636,1636"	"33,3200,1,0,14,82,82"	"34,3300,1,0,1,55,55"	"34,3400,1,0,2,82,82"	"35,3400,1,0,18,123,123"	"36,3500,1,0,1,83,83"	"37,3500,1,0,0,2481,2481"	"38,3600,1,0,16,124,124"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"3"	"1"	"107"	"39,3700,1,0,1,83,83"	"40,3700,1,0,0,2498,2498"	"41,3800,1,0,2,125,125"	"42,3900,1,0,1,84,84"	"43,3900,1,0,0,2515,2515"	"44,4000,1,0,1,84,84"	"45,4100,1,0,8,126,126"	"46,4100,1,0,10,127,127"	"47,4200,1,0,1,85,85"	"48,4300,1,0,0,2543,2543"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8"	"3"	"1"	"108"	"49,4300,1,0,2,127,127"	"50,4400,1,0,1,85,85"	"51,4500,1,0,12,128,128"	"52,4600,1,0,14,128,128"	"53,4600,1,0,1,86,86"	"55,4700,1,0,0,2577,2577"	"56,4800,1,0,1,86,86"	"57,4800,1,0,18,129,129"	"58,4900,1,0,0,2593,2593"	"59,5000,1,0,2,130,130"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9"	"3"	"1"	"109"	"60,5000,1,0,1,87,87"	"60,5100,1,0,16,131,131"	"61,5200,1,0,0,2616,2616"	"61,5200,1,0,1,87,87"	"62,5300,1,0,1,88,88"	"62,5400,1,0,0,2633,2633"	"63,5400,1,0,2,132,132"	"64,5500,1,0,1,88,88"	"64,5600,1,0,8,132,132"	"65,5600,1,0,10,133,133"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10"	"3"	"1"	"110"	"65,5700,1,0,0,2661,2661"	"66,5800,1,0,1,89,89"	"66,5900,1,0,12,134,134"	"67,5900,1,0,14,134,134"	"68,6000,1,0,1,89,89"	"68,6100,1,0,0,2689,2689"	"69,6100,1,0,2,135,135"	"69,6200,1,0,1,90,90"	"70,6300,1,0,18,135,135"	"71,6300,1,0,0,2712,2712"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11"	"3"	"2"	"201"	"71,6400,1,0,1,91,91"	"72,6500,1,0,16,136,136"	"72,6500,1,0,1,91,91"	"73,6600,1,0,0,2734,2734"	"73,6700,1,0,2,137,137"	"74,6800,1,0,1,92,92"	"75,6800,1,0,0,2751,2751"	"75,6900,1,0,1,92,92"	"76,7000,1,0,8,138,138"	"76,7000,1,0,10,138,138"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12"	"3"	"2"	"202"	"77,7100,1,0,1,92,92"	"78,7200,1,0,0,2779,2779"	"78,7300,1,0,2,139,139"	"79,7300,1,0,1,93,93"	"79,7400,1,0,12,140,140"	"80,7500,1,0,14,140,140"	"80,7500,1,0,1,94,94"	"81,7600,1,0,0,2813,2813"	"81,7700,1,0,1,94,94"	"82,7700,1,0,18,141,141"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"13"	"3"	"2"	"203"	"82,7800,1,0,0,2830,2830"	"83,7900,1,0,2,142,142"	"83,8000,1,0,1,95,95"	"84,8000,1,0,16,142,142"	"84,8100,1,0,0,2852,2852"	"85,8200,1,0,1,95,95"	"85,8200,1,0,1,95,95"	"86,8300,1,0,0,2869,2869"	"86,8400,1,0,2,144,144"	"87,8500,1,0,1,96,96"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"14"	"3"	"2"	"204"	"87,8500,1,0,8,144,144"	"88,8600,1,0,10,145,145"	"88,8700,1,0,0,2897,2897"	"89,8700,1,0,1,97,97"	"89,8800,1,0,12,145,145"	"90,8900,1,0,14,146,146"	"90,9000,1,0,1,97,97"	"91,9000,1,0,0,2926,2926"	"91,9100,1,0,2,147,147"	"91,9200,1,0,1,98,98"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"15"	"3"	"2"	"205"	"92,9300,1,0,18,147,147"	"92,9300,1,0,0,2948,2948"	"93,9400,1,0,1,98,98"	"93,9500,1,0,16,148,148"	"94,9500,1,0,1,99,99"	"94,9600,1,0,0,2971,2971"	"95,9700,1,0,2,149,149"	"95,9800,1,0,1,99,99"	"95,9800,1,0,0,2987,2987"	"96,9900,1,0,1,100,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"16"	"3"	"2"	"206"	"96,10000,1,0,8,150,150"	"97,10000,1,0,10,150,150"	"97,10100,1,0,1,100,100"	"98,10200,1,0,0,3016,3016"	"98,10300,1,0,2,151,151"	"98,10300,1,0,1,101,101"	"99,10400,1,0,12,152,152"	"99,10500,1,0,14,152,152"	"100,10600,1,0,1,101,101"	"100,10600,1,0,0,3049,3049"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"17"	"3"	"2"	"207"	"101,10700,1,0,1,204,204"	"102,10800,1,0,0,6138,6138"	"102,10900,1,0,2,308,308"	"103,10900,1,0,1,206,206"	"104,11000,1,0,18,310,310"	"105,11100,1,0,16,311,311"	"105,11100,1,0,0,6251,6251"	"106,11200,1,0,1,209,209"	"107,11300,1,0,8,315,315"	"107,11400,1,0,1,211,211"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"18"	"3"	"2"	"208"	"108,11400,1,0,0,6341,6341"	"109,11500,1,0,2,318,318"	"109,11600,1,0,1,213,213"	"110,11700,1,0,10,320,320"	"111,11700,1,0,12,322,322"	"111,11800,1,0,0,6453,6453"	"112,11900,1,0,1,216,216"	"113,12000,1,0,14,325,325"	"113,12000,1,0,1,217,217"	"114,12100,1,0,0,6543,6543"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"19"	"3"	"2"	"209"	"114,12200,1,0,2,328,328"	"115,12300,1,0,1,220,220"	"116,12300,1,0,0,6611,6611"	"116,12400,1,0,1,221,221"	"117,12500,1,0,18,333,333"	"117,12500,1,0,16,334,334"	"118,12600,1,0,1,223,223"	"119,12700,1,0,0,6723,6723"	"119,12800,1,0,2,337,337"	"120,12800,1,0,1,226,226"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20"	"3"	"2"	"210"	"120,12900,1,0,8,340,340"	"121,13000,1,0,0,6813,6813"	"121,13100,1,0,1,228,228"	"122,13100,1,0,10,343,343"	"122,13200,1,0,1,229,229"	"123,13300,1,0,0,6903,6903"	"124,13400,1,0,12,346,346"	"124,13400,1,0,14,347,347"	"125,13500,1,0,1,232,232"	"125,13600,1,0,2,350,350"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21"	"3"	"3"	"301"	"126,14300,1,0,0,7016,7016"	"126,14400,1,0,1,235,235"	"127,14500,1,0,1,235,235"	"127,14600,1,0,0,7084,7084"	"128,14700,1,0,2,355,355"	"129,14700,1,0,1,238,238"	"129,14800,1,0,18,358,358"	"130,14900,1,0,16,359,359"	"130,15000,1,0,0,7196,7196"	"130,15100,1,0,1,241,241"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"22"	"3"	"3"	"302"	"131,15900,1,0,8,362,362"	"131,15900,1,0,1,242,242"	"132,16000,1,0,0,7286,7286"	"132,16100,1,0,2,365,365"	"133,16200,1,0,1,244,244"	"133,16300,1,0,10,368,368"	"134,16400,1,0,0,7376,7376"	"134,16400,1,0,1,247,247"	"134,16500,1,0,12,371,371"	"135,16600,1,0,14,372,372"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"23"	"3"	"3"	"303"	"135,17400,1,0,1,249,249"	"136,17500,1,0,0,7489,7489"	"136,17600,1,0,2,376,376"	"137,17700,1,0,1,251,251"	"137,17800,1,0,0,7556,7556"	"138,17900,1,0,1,253,253"	"138,18000,1,0,18,380,380"	"138,18100,1,0,16,381,381"	"139,18100,1,0,1,255,255"	"139,18200,1,0,0,7669,7669"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"24"	"3"	"3"	"304"	"140,19100,1,0,2,385,385"	"140,19200,1,0,1,257,257"	"141,19300,1,0,8,387,387"	"141,19400,1,0,0,7759,7759"	"141,19500,1,0,1,259,259"	"142,19600,1,0,10,390,390"	"142,19700,1,0,1,261,261"	"142,19700,1,0,0,7849,7849"	"143,19800,1,0,12,394,394"	"143,19900,1,0,14,395,395"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"25"	"3"	"3"	"305"	"143,20900,1,0,1,264,264"	"144,20900,1,0,2,397,397"	"144,21000,1,0,0,7961,7961"	"145,21100,1,0,1,266,266"	"145,21200,1,0,1,267,267"	"145,21300,1,0,0,8029,8029"	"146,21400,1,0,2,403,403"	"146,21500,1,0,1,269,269"	"147,21600,1,0,18,405,405"	"147,21700,1,0,16,406,406"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26"	"3"	"3"	"306"	"147,22700,1,0,0,8142,8142"	"148,22800,1,0,1,272,272"	"148,22900,1,0,8,409,409"	"148,23000,1,0,1,274,274"	"149,23100,1,0,0,8232,8232"	"149,23200,1,0,2,413,413"	"150,23300,1,0,1,276,276"	"150,23400,1,0,10,415,415"	"150,23500,1,0,0,8322,8322"	"151,23600,1,0,1,278,278"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"27"	"3"	"3"	"307"	"151,24600,1,0,12,418,418"	"151,24700,1,0,14,419,419"	"151,24800,1,0,1,280,280"	"152,24900,1,0,0,8434,8434"	"152,25000,1,0,2,423,423"	"152,25100,1,0,1,283,283"	"153,25200,1,0,0,8502,8502"	"153,25300,1,0,1,284,284"	"153,25400,1,0,18,427,427"	"154,25500,1,0,16,428,428"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"28"	"3"	"3"	"308"	"154,26600,1,0,1,286,286"	"154,26700,1,0,0,8614,8614"	"155,26800,1,0,2,432,432"	"155,26900,1,0,1,289,289"	"155,27000,1,0,8,434,434"	"156,27100,1,0,0,8704,8704"	"156,27200,1,0,1,291,291"	"156,27300,1,0,10,437,437"	"157,27400,1,0,1,292,292"	"157,27500,1,0,0,8794,8794"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"29"	"3"	"3"	"309"	"157,28600,1,0,12,441,441"	"157,28800,1,0,14,442,442"	"158,28900,1,0,1,295,295"	"158,29000,1,0,2,444,444"	"158,29100,1,0,0,8907,8907"	"159,29200,1,0,1,298,298"	"159,29300,1,0,1,298,298"	"159,29400,1,0,0,8975,8975"	"160,29500,1,0,2,450,450"	"160,29700,1,0,1,301,301"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30"	"3"	"3"	"310"	"160,30800,1,0,18,452,452"	"160,30900,1,0,16,453,453"	"161,31000,1,0,0,9087,9087"	"161,31100,1,0,1,304,304"	"161,31300,1,0,8,457,457"	"161,31400,1,0,1,305,305"	"162,31500,1,0,0,9177,9177"	"162,31600,1,0,2,460,460"	"162,31700,1,0,1,307,307"	"163,31800,1,0,10,462,462"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"31"	"3"	"4"	"401"	"163,33000,1,0,0,9267,9267"	"163,33100,1,0,1,310,310"	"163,33300,1,0,12,466,466"	"164,33400,1,0,14,467,467"	"164,33500,1,0,1,312,312"	"164,33600,1,0,0,9380,9380"	"164,33700,1,0,2,470,470"	"165,33900,1,0,1,314,314"	"165,34000,1,0,0,9447,9447"	"165,34100,1,0,1,316,316"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"32"	"3"	"4"	"402"	"165,35300,1,0,18,475,475"	"166,35500,1,0,16,476,476"	"166,35600,1,0,1,318,318"	"166,35700,1,0,0,9560,9560"	"166,35800,1,0,2,479,479"	"167,36000,1,0,1,320,320"	"167,36100,1,0,8,481,481"	"167,36200,1,0,0,9650,9650"	"168,36300,1,0,1,322,322"	"168,36500,1,0,10,485,485"	""	""	""	""	""	""	""	""	""	""	""	""	""	
