"称号id"	"一级标题分类id"	"标题名字"	"排序id"	"称号名称"	"获得途径"	"使用物品id"	"持续时间单位为天-1表示永久"	"获得途径跳转(UI界面ID)"	"称号属性索引"	"属性修改方式0=基础值1=基础百分比2=总值3=总值百分比"	"属性修改值"	"属性加成描述"	"称号图片"	""	
"id"	"title_one"	"title_name"	"title_two"	"name"	"from"	"use_id"	"duration"	"jump"	"attr_mod_index"	"attr_mod_type"	"attr_mod_val"	"attr_mod_des"	"pic"	""	
"int"	"int"	"string"	"int"	"string"	"string"	"int"	"int"	"int"	"int[]"	"int[]"	"float[]"	"string[]"	"string[]"	""	
"cs"	"c"	"cl"	"c"	"cl"	"cl"	"s"	"cs"	"c"	"cs"	"cs"	"cs"	"cl"	"c"	""	
"1001"	"1"	"活动称号"	"13"	"霸道总裁"	"豪侠等级达到10"	"420101"	"-1"	""	"0,10,12,18"	"0,0,0,0"	"200000,2000,2000,2000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,badaozongcai"	""	
"1002"	"1"	"活动称号"	"12"	"兵不血刃"	"挑战副本达到100层"	"420102"	"-1"	""	"0,1,2"	"0,0,0"	"50000,4000,2000"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,bingbuxueren"	""	
"1003"	"1"	"活动称号"	"9"	"斗战胜佛"	"战力排行榜第一"	"420103"	"-1"	""	"0,1,2"	"0,0,0"	"40000,3000,1500"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,douzhanshengfo"	""	
"1004"	"1"	"活动称号"	"1"	"独孤求败"	"试剑第一"	"420104"	"2"	""	"1,8,14,16"	"0,0,0,0"	"2000,1000,1000,1000"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,duguqiubai"	""	
"1005"	"1"	"活动称号"	"10"	"根骨清奇"	"等级排行榜第一"	"420105"	"-1"	""	"0,1,2"	"0,0,0"	"20000,2000,1000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,genguqingqi"	""	
"1006"	"1"	"活动称号"	"8"	"贡献帝"	"世界首领第一"	"420106"	"1"	""	"1,8,16"	"0,0,0"	"2000,500,500"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,gongxiandi"	""	
"1007"	"1"	"活动称号"	"2"	"绝世无双"	"雪崖剑圣冠军"	"420107"	"14"	""	"1,8,10"	"0,0,0"	"2000,3000,3000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,jueshiwushuang"	""	
"1008"	"1"	"活动称号"	"5"	"谁与争锋"	"跨服公会战亚军"	"420108"	"7"	""	"0,1,2"	"0,0,0"	"30000,3000,1500"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,shuiyuzhengfeng"	""	
"1009"	"1"	"活动称号"	"6"	"天下第一帮"	"帮派战冠军成员"	"420109"	"7"	""	"2,12,14"	"0,0,0"	"2000,2000,2000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,tianxiadiyibang"	""	
